"","study.accession","experiment.accession","source_name","strain","tissue"
"118","SRP072302","SRX1660727","breast cancer cell line","MDAMB231 cells","breast"
"119","SRP072302","SRX1660710","breast cancer cell line","BT549 cells","breast"
"120","SRP072302","SRX1660783","breast cancer cell line","T47D cells","breast"
"121","SRP072302","SRX1660718","breast cancer cell line","BT549 cells","breast"
"122","SRP072302","SRX1660720","breast cancer cell line","BT549 cells","breast"
"123","SRP072302","SRX1660736","breast cancer cell line","MDAMB231 cells","breast"
"124","SRP072302","SRX1660811","breast cancer cell line","MCF7 cells","breast"
"125","SRP072302","SRX1660773","breast cancer cell line","T47D cells","breast"
"126","SRP072302","SRX1660784","breast cancer cell line","T47D cells","breast"
"127","SRP072302","SRX1660711","breast cancer cell line","BT549 cells","breast"
"128","SRP072302","SRX1660814","breast cancer cell line","MCF7 cells","breast"
"129","SRP072302","SRX1660793","breast cancer cell line","MCF7 cells","breast"
"130","SRP072302","SRX1660790","breast cancer cell line","T47D cells","breast"
"131","SRP072302","SRX1660765","breast cancer cell line","T47D cells","breast"
"132","SRP072302","SRX1660725","breast cancer cell line","BT549 cells","breast"
"133","SRP072302","SRX1660749","breast cancer cell line","MDAMB231 cells","breast"
"134","SRP072302","SRX1660816","breast cancer cell line","MCF7 cells","breast"
"135","SRP072302","SRX1660775","breast cancer cell line","T47D cells","breast"
"136","SRP072302","SRX1660753","breast cancer cell line","MDAMB231 cells","breast"
"137","SRP072302","SRX1660747","breast cancer cell line","MDAMB231 cells","breast"
"138","SRP072302","SRX1660772","breast cancer cell line","T47D cells","breast"
"139","SRP072302","SRX1660767","breast cancer cell line","T47D cells","breast"
"140","SRP072302","SRX1660794","breast cancer cell line","MCF7 cells","breast"
"141","SRP072302","SRX1660803","breast cancer cell line","MCF7 cells","breast"
"142","SRP072302","SRX1660722","breast cancer cell line","BT549 cells","breast"
"143","SRP072302","SRX1660712","breast cancer cell line","BT549 cells","breast"
"144","SRP072302","SRX1660734","breast cancer cell line","MDAMB231 cells","breast"
"145","SRP072302","SRX1660742","breast cancer cell line","MDAMB231 cells","breast"
"146","SRP072302","SRX1660802","breast cancer cell line","MCF7 cells","breast"
