"","study.accession","experiment.accession","ArrayExpress.CellType","ArrayExpress.Species","ENA.FIRST.PUBLIC","ENA.LAST.UPDATE"
"159","ERP012527","ERX1346652","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"160","ERP012527","ERX1346699","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"161","ERP012527","ERX1346900","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"162","ERP012527","ERX1346638","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"163","ERP012527","ERX1346647","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"164","ERP012527","ERX1346653","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"165","ERP012527","ERX1346954","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"166","ERP012527","ERX1346863","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"167","ERP012527","ERX1346629","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"168","ERP012527","ERX1346809","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"169","ERP012527","ERX1346693","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"170","ERP012527","ERX1346732","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"171","ERP012527","ERX1346775","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"172","ERP012527","ERX1346662","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"173","ERP012527","ERX1346707","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"174","ERP012527","ERX1346756","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"175","ERP012527","ERX1346851","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"176","ERP012527","ERX1346611","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"177","ERP012527","ERX1346884","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"178","ERP012527","ERX1346917","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"179","ERP012527","ERX1346654","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"180","ERP012527","ERX1346710","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"181","ERP012527","ERX1346913","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"182","ERP012527","ERX1346901","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"183","ERP012527","ERX1346890","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"184","ERP012527","ERX1346793","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"185","ERP012527","ERX1346815","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"186","ERP012527","ERX1346799","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"187","ERP012527","ERX1346755","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"188","ERP012527","ERX1346619","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"189","ERP012527","ERX1346636","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"190","ERP012527","ERX1346880","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"191","ERP012527","ERX1346708","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"192","ERP012527","ERX1346722","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"193","ERP012527","ERX1346758","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"194","ERP012527","ERX1346927","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"195","ERP012527","ERX1346910","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"196","ERP012527","ERX1346931","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"197","ERP012527","ERX1346771","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"198","ERP012527","ERX1346666","BPH1","Homo Sapien","2016-02-17","2018-03-09"
