"","study.accession","experiment.accession","sample_name","sample.comment"
"169","DRP001358","DRX013895","DRS013641","LC2ad_replicate_005"
"170","DRP001358","DRX013881","DRS013627","LMD_037"
"171","DRP001358","DRX013671","DRS013417","LC2ad_002"
"172","DRP001358","DRX013672","DRS013418","LC2ad_003"
"173","DRP001358","DRX013729","DRS013475","LC2ad-R_van_017"
"174","DRP001358","DRX013896","DRS013642","LC2ad_replicate_006"
"175","DRP001358","DRX013600","DRS013346","LC2ad-R_001"
"176","DRP001358","DRX013763","DRS013509","LC2ad-R_van_051"
"177","DRP001358","DRX013852","DRS013598","LMD_008"
"178","DRP001358","DRX013695","DRS013441","LC2ad_026"
"179","DRP001358","DRX013880","DRS013626","LMD_036"
"180","DRP001358","DRX013788","DRS013534","LC2ad_van_018"
"181","DRP001358","DRX013812","DRS013558","PC9_014"
"182","DRP001358","DRX013776","DRS013522","LC2ad_van_006"
"183","DRP001358","DRX013684","DRS013430","LC2ad_015"
"184","DRP001358","DRX013633","DRS013379","LC2ad-R_034"
"185","DRP001358","DRX013797","DRS013543","LC2ad_van_027"
"186","DRP001358","DRX013777","DRS013523","LC2ad_van_007"
"187","DRP001358","DRX013620","DRS013366","LC2ad-R_021"
"188","DRP001358","DRX013922","DRS013668","LC2ad_replicate_032"
"189","DRP001358","DRX013888","DRS013634","LMD_044"
"190","DRP001358","DRX013853","DRS013599","LMD_009"
"191","DRP001358","DRX013751","DRS013497","LC2ad-R_van_039"
"192","DRP001358","DRX013636","DRS013382","LC2ad-R_037"
"193","DRP001358","DRX013934","DRS013680","LC2ad_replicate_044"
"194","DRP001358","DRX013915","DRS013661","LC2ad_replicate_025"
"195","DRP001358","DRX013857","DRS013603","LMD_013"
"196","DRP001358","DRX013632","DRS013378","LC2ad-R_033"
"197","DRP001358","DRX013743","DRS013489","LC2ad-R_van_031"
"198","DRP001358","DRX013683","DRS013429","LC2ad_014"
"199","DRP001358","DRX013643","DRS013389","LC2ad-R_044"
"200","DRP001358","DRX013816","DRS013562","PC9_018"
"201","DRP001358","DRX013838","DRS013584","PC9_040"
"202","DRP001358","DRX013815","DRS013561","PC9_017"
"203","DRP001358","DRX013860","DRS013606","LMD_016"
"204","DRP001358","DRX013741","DRS013487","LC2ad-R_van_029"
"205","DRP001358","DRX013618","DRS013364","LC2ad-R_019"
"206","DRP001358","DRX013750","DRS013496","LC2ad-R_van_038"
"207","DRP001358","DRX013733","DRS013479","LC2ad-R_van_021"
"208","DRP001358","DRX013721","DRS013467","LC2ad-R_van_009"
"209","DRP001358","DRX013898","DRS013644","LC2ad_replicate_008"
"210","DRP001358","DRX013869","DRS013615","LMD_025"
"211","DRP001358","DRX013679","DRS013425","LC2ad_010"
"212","DRP001358","DRX013766","DRS013512","LC2ad-R_van_054"
"213","DRP001358","DRX013832","DRS013578","PC9_034"
"214","DRP001358","DRX013647","DRS013393","LC2ad-R_048"
"215","DRP001358","DRX013868","DRS013614","LMD_024"
"216","DRP001358","DRX013774","DRS013520","LC2ad_van_004"
"217","DRP001358","DRX013723","DRS013469","LC2ad-R_van_011"
"218","DRP001358","DRX013612","DRS013358","LC2ad-R_013"
"219","DRP001358","DRX013749","DRS013495","LC2ad-R_van_037"
"220","DRP001358","DRX013629","DRS013375","LC2ad-R_030"
"221","DRP001358","DRX013690","DRS013436","LC2ad_021"
"222","DRP001358","DRX013614","DRS013360","LC2ad-R_015"
"223","DRP001358","DRX013936","DRS013682","LC2ad_replicate_046"
"224","DRP001358","DRX013787","DRS013533","LC2ad_van_017"
"225","DRP001358","DRX013848","DRS013594","LMD_004"
"226","DRP001358","DRX013835","DRS013581","PC9_037"
"227","DRP001358","DRX013711","DRS013457","LC2ad_042"
"228","DRP001358","DRX013820","DRS013566","PC9_022"
"229","DRP001358","DRX013725","DRS013471","LC2ad-R_van_013"
"230","DRP001358","DRX013923","DRS013669","LC2ad_replicate_033"
"231","DRP001358","DRX013653","DRS013399","LC2ad-R_054"
"232","DRP001358","DRX013700","DRS013446","LC2ad_031"
"233","DRP001358","DRX013780","DRS013526","LC2ad_van_010"
"234","DRP001358","DRX013795","DRS013541","LC2ad_van_025"
"235","DRP001358","DRX013722","DRS013468","LC2ad-R_van_010"
"236","DRP001358","DRX013805","DRS013551","PC9_007"
"237","DRP001358","DRX013887","DRS013633","LMD_043"
"238","DRP001358","DRX013855","DRS013601","LMD_011"
"239","DRP001358","DRX013916","DRS013662","LC2ad_replicate_026"
"240","DRP001358","DRX013783","DRS013529","LC2ad_van_013"
"241","DRP001358","DRX013713","DRS013459","LC2ad-R_van_001"
"242","DRP001358","DRX013854","DRS013600","LMD_010"
"243","DRP001358","DRX013623","DRS013369","LC2ad-R_024"
"244","DRP001358","DRX013666","DRS013412","LC2ad-R_067"
"245","DRP001358","DRX013785","DRS013531","LC2ad_van_015"
"246","DRP001358","DRX013801","DRS013547","PC9_003"
"247","DRP001358","DRX013846","DRS013592","LMD_002"
"248","DRP001358","DRX013759","DRS013505","LC2ad-R_van_047"
"249","DRP001358","DRX013928","DRS013674","LC2ad_replicate_038"
"250","DRP001358","DRX013680","DRS013426","LC2ad_011"
"251","DRP001358","DRX013756","DRS013502","LC2ad-R_van_044"
