"","study.accession","experiment.accession","isolate","age","biomaterial_provider","sex","tissue","sample_type","filename","md5_checksum","BioSampleModel"
"1","SRP108709","SRX2887265","4_12G_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_12G_L001_R1_001.fastq.gz","5095688bed2a573c0e7502847b77e015","Human"
"2","SRP108709","SRX2887295","4_7G_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_7G_L001_R1_001.fastq.gz","f7dbaf92bef506bac5bf9f9c5c2a562a","Human"
"3","SRP108709","SRX2887359","2_10F_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM2_10F_L001_R1_001.fastq.gz","75d2eb65bf0bfafec7992cdcefcbd844","Human"
"4","SRP108709","SRX2887322","2_7F_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM2_7F_L002_R1_001.fastq.gz","25b2c08ce9d01661ffc4ac0acab88796","Human"
"5","SRP108709","SRX2887339","4_2B_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_2B_L001_R1_001.fastq.gz","ce2f432c7fb19a9827ad4aed376fe446","Human"
"6","SRP108709","SRX2887397","2_10B_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM2_10B_L001_R1_001.fastq.gz","b233f41f403838957074e60264c3e21f","Human"
"7","SRP108709","SRX2887287","1_4EF_L008","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM1_4EF_L008_R1_001.fastq.gz","a8c7f6b62befb066ddad7ee77734d45e","Human"
"8","SRP108709","SRX2887523","4_9B_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_9B_L001_R1_001.fastq.gz","e4fa0855d8133d5af40c0b320f20ba4c","Human"
"9","SRP108709","SRX2887381","4_4E_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_4E_L002_R1_001.fastq.gz","5a70b7722f14b26a38a63ffddbc5c6e4","Human"
"10","SRP108709","SRX2887382","4_4D_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_4D_L001_R1_001.fastq.gz","39e2f9d4545baf4c33a143e95a36ba0c","Human"
"11","SRP108709","SRX2887250","4_5H_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_5H_L002_R1_001.fastq.gz","dbea113e76efdf2dd539c235a2ce11a5","Human"
"12","SRP108709","SRX2887301","4_8C_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_8C_L002_R1_001.fastq.gz","ed484ee429b1477b853da9178ba14821","Human"
"13","SRP108709","SRX2887464","4_11A_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_11A_L001_R1_001.fastq.gz","b5c98774f983f9358a3b46b954e0d559","Human"
"14","SRP108709","SRX2887466","4_10H_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_10H_L001_R1_001.fastq.gz","14d244134dd0353d92d2734eb1ff8ec4","Human"
"15","SRP108709","SRX2887550","4_9B_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_9B_L002_R1_001.fastq.gz","6a8e721f8f18009dc8e2ba0a2caa8f50","Human"
"16","SRP108709","SRX2887413","4_3F_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_3F_L001_R1_001.fastq.gz","245a4df2514a38bb03b637216c3ab9a0","Human"
"17","SRP108709","SRX2887440","2_2E_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM2_2E_L002_R1_001.fastq.gz","1b64bf1c01545c8266798fd081aa51c2","Human"
"18","SRP108709","SRX2887325","4_7C_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_7C_L001_R1_001.fastq.gz","cc6e3051417a77ebe4a10c6559a5aa00","Human"
"19","SRP108709","SRX2887283","1_6C_L008","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM1_6C_L008_R1_001.fastq.gz","8924c26297f0b7f8e1e133d08e09640f","Human"
"20","SRP108709","SRX2887511","2_5A_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM2_5A_L002_R1_001.fastq.gz","4ac4402fcf909217f8b45ee91cd658d5","Human"
"21","SRP108709","SRX2887491","4_4F_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_4F_L002_R1_001.fastq.gz","ec1094d8d5870798d04b7457fb1df5cf","Human"
"22","SRP108709","SRX2887352","2_9C_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM2_9C_L002_R1_001.fastq.gz","791113347995d0cc82e6e552721e0599","Human"
"23","SRP108709","SRX2887258","4_1C_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_1C_L001_R1_001.fastq.gz","a09141a3f96b2f3ba234d279653e3a83","Human"
"24","SRP108709","SRX2887252","4_6A_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_6A_L002_R1_001.fastq.gz","f9fc6b1631531fd650cd30a8967d188a","Human"
"25","SRP108709","SRX2887284","1_5EF_L008","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM1_5EF_L008_R1_001.fastq.gz","ca245785e90f3ada535ccc5096b63d3f","Human"
"26","SRP108709","SRX2887380","4_4E_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_4E_L001_R1_001.fastq.gz","843375df5f642e87d9ffd6debc206020","Human"
"27","SRP108709","SRX2887445","2_4A_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM2_4A_L001_R1_001.fastq.gz","2205468cbd45ef4ef4862291031d6d0b","Human"
"28","SRP108709","SRX2887436","2_1E_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM2_1E_L002_R1_001.fastq.gz","03618db5c9c3e93bdab60ebafd6aeb15","Human"
"29","SRP108709","SRX2887546","2_3D_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM2_3D_L002_R1_001.fastq.gz","1a99f6e216db8d732d0fceac2518bd46","Human"
"30","SRP108709","SRX2887505","4_11E_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_11E_L001_R1_001.fastq.gz","63cd7d1a2548be9891b70b6119a408fa","Human"
"31","SRP108709","SRX2887300","4_8C_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_8C_L001_R1_001.fastq.gz","aa155b56c278917c70462d27c87b0b73","Human"
"32","SRP108709","SRX2887312","4_1F_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_1F_L002_R1_001.fastq.gz","0bb58bec434ed4c781740914ad7aa052","Human"
"33","SRP108709","SRX2887353","2_9B_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM2_9B_L001_R1_001.fastq.gz","bd2448798254ac2cbdcf51a2417946dc","Human"
"34","SRP108709","SRX2887260","2_5E_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM2_5E_L002_R1_001.fastq.gz","06a2dff09a1fd9826628925ccdea476e","Human"
"35","SRP108709","SRX2887434","4_10F_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_10F_L002_R1_001.fastq.gz","ae83c55fe628bc0d336473ba31d4e057","Human"
"36","SRP108709","SRX2887262","4_1A_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_1A_L002_R1_001.fastq.gz","9e78490c89941e80e598e38828dd5cc0","Human"
"37","SRP108709","SRX2887289","1_5D_L008","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM1_5D_L008_R1_001.fastq.gz","31466132a60ad1b00c23f9f326aa0d56","Human"
"38","SRP108709","SRX2887525","4_6F_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_6F_L002_R1_001.fastq.gz","f274e8e3837b927be5de68da31cabb8f","Human"
"39","SRP108709","SRX2887481","1_3C_L008","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM1_3C_L008_R1_001.fastq.gz","e0686309304dc276531ada5fc0fe6827","Human"
"40","SRP108709","SRX2887324","4_7C_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_7C_L002_R1_001.fastq.gz","ea2dfb0fcea8b745253d59f7729d8dc8","Human"
"41","SRP108709","SRX2887392","3_2D_L008","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM3_2D_L008_R1_001.fastq.gz","1fe53679ddd6407127552646d5abbeb0","Human"
"42","SRP108709","SRX2887417","4_3D_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_3D_L001_R1_001.fastq.gz","a4a5c53ccab277081d2b936b20d3f5a4","Human"
"43","SRP108709","SRX2887514","4_12A_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_12A_L002_R1_001.fastq.gz","ac572a49249bb74fa90f19b50c026182","Human"
"44","SRP108709","SRX2887357","2_3G_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM2_3G_L002_R1_001.fastq.gz","2bc066a89460b0054a59fb75b023a441","Human"
"45","SRP108709","SRX2887487","4_4H_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_4H_L002_R1_001.fastq.gz","c2689dcacd6ddeb10aa4f398d73eb01c","Human"
"46","SRP108709","SRX2887432","4_10E_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_10E_L002_R1_001.fastq.gz","048b2a11a0564a590fe8933240f085c2","Human"
"47","SRP108709","SRX2887388","3_8C_L008","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM3_8C_L008_R1_001.fastq.gz","b421ddc28e15db46840acca38f832c8d","Human"
"48","SRP108709","SRX2887384","4_10B_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_10B_L001_R1_001.fastq.gz","befb731c432af08002e6bed76556c3c5","Human"
"49","SRP108709","SRX2887400","1_8C_L008","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM1_8C_L008_R1_001.fastq.gz","bc38225137f8edbccb57e1f19a36b4fc","Human"
"50","SRP108709","SRX2887551","4_THP1_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_THP1_L002_R1_001.fastq.gz","b102be61c20de3325d9bc6dbe99a814d","Human"
"51","SRP108709","SRX2887473","2_11E_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM2_11E_L002_R1_001.fastq.gz","a81941aa8b42ba95fe9f3ebd54fd6459","Human"
"52","SRP108709","SRX2887494","4_9A_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_9A_L001_R1_001.fastq.gz","a389ae7752beae412ae9b5f0d14c885b","Human"
"53","SRP108709","SRX2887372","4_3B_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_3B_L002_R1_001.fastq.gz","470200d2b1f8a4cf569fe7f33f480a9b","Human"
"54","SRP108709","SRX2887335","4_2D_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_2D_L001_R1_001.fastq.gz","2fe8275abc81a5dc3c5b13d3af1c4892","Human"
"55","SRP108709","SRX2887527","4_6E_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_6E_L002_R1_001.fastq.gz","1e46103b26112400ad0e0b91b4096651","Human"
"56","SRP108709","SRX2887479","2_1E_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM2_1E_L001_R1_001.fastq.gz","40b89410efe4b32c24d1692f9a110783","Human"
"57","SRP108709","SRX2887530","4_6G_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_6G_L001_R1_001.fastq.gz","53c7d8714cc0f985de4c9c818b85b5df","Human"
"58","SRP108709","SRX2887502","4_9G_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_9G_L002_R1_001.fastq.gz","ab85a671f1fd7a9d4df54cc5e5048a7d","Human"
"59","SRP108709","SRX2887537","4_12C_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_12C_L001_R1_001.fastq.gz","40a856a4d3df0107bf43fb5cec24ea56","Human"
"60","SRP108709","SRX2887332","4_7F_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_7F_L002_R1_001.fastq.gz","5bf244790899640db1e36998826b7292","Human"
"61","SRP108709","SRX2887422","4_3H_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_3H_L001_R1_001.fastq.gz","9166dce29e5666c24497496e446c39e7","Human"
"62","SRP108709","SRX2887485","4_5A_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_5A_L002_R1_001.fastq.gz","7bfeb0c678033a8bf0ee6ca5c40d2a16","Human"
"63","SRP108709","SRX2887497","4_THP1_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_THP1_L001_R1_001.fastq.gz","05a35b77c4d4643f14ed31b3563b61f2","Human"
"64","SRP108709","SRX2887247","2_3C_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM2_3C_L001_R1_001.fastq.gz","10623720c0ebfd8c938509f18db9f6b4","Human"
"65","SRP108709","SRX2887461","4_11B_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_11B_L002_R1_001.fastq.gz","d4b40186ad950113131cfa0d8448514b","Human"
"66","SRP108709","SRX2887510","4_11G_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_11G_L002_R1_001.fastq.gz","16850b883c25a9bd0e49a5bc91ba6fec","Human"
"67","SRP108709","SRX2887467","4_9E_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_9E_L002_R1_001.fastq.gz","8030ebc2e0746ed5f1056740ff58548f","Human"
"68","SRP108709","SRX2887552","2_4H_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM2_4H_L002_R1_001.fastq.gz","f575ff99add789f8b55f09d6bcd6837a","Human"
"69","SRP108709","SRX2887428","4_10C_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_10C_L002_R1_001.fastq.gz","4bf5fbe50f849df8c5bb0b3caebd48a0","Human"
"70","SRP108709","SRX2887277","2_9A_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM2_9A_L002_R1_001.fastq.gz","64868ef108b32b3b17cb4ffa94ceb591","Human"
"71","SRP108709","SRX2887373","4_3B_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_3B_L001_R1_001.fastq.gz","18324624368cab49be2ed16c2fb5daba","Human"
"72","SRP108709","SRX2887459","4_11C_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_11C_L002_R1_001.fastq.gz","62906796a6711cf29f084d9866e11f7e","Human"
"73","SRP108709","SRX2887408","4_4A_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_4A_L001_R1_001.fastq.gz","b00710d8c586500d1ce7a3125c127617","Human"
"74","SRP108709","SRX2887506","4_11E_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_11E_L002_R1_001.fastq.gz","0c76f274d19f269bf296595530ed4350","Human"
"75","SRP108709","SRX2887266","4_12G_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_12G_L002_R1_001.fastq.gz","a4f2d4e2309d92abd55d0d4f13e36371","Human"
"76","SRP108709","SRX2887471","4_9D_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_9D_L001_R1_001.fastq.gz","d29a04f201c76be69265c06bbeb474d4","Human"
"77","SRP108709","SRX2887453","4_5E_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_5E_L001_R1_001.fastq.gz","45fe49c01cf61ae167be163a9459d51d","Human"
"78","SRP108709","SRX2887495","4_9H_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_9H_L001_R1_001.fastq.gz","dabc04e18e482aaf45aa42250bc0b955","Human"
"79","SRP108709","SRX2887273","2_8D_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM2_8D_L001_R1_001.fastq.gz","c58eabac9503e999a448193f04df2673","Human"
"80","SRP108709","SRX2887271","2_8G_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM2_8G_L002_R1_001.fastq.gz","49d24bb501730bebed0c6eeded163539","Human"
"81","SRP108709","SRX2887458","4_5G_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_5G_L002_R1_001.fastq.gz","5e97761ef04b014ca312f494e82af4d3","Human"
"82","SRP108709","SRX2887426","4_8H_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_8H_L001_R1_001.fastq.gz","31ece0d6641b2abac614eee046e6314a","Human"
"83","SRP108709","SRX2887308","4_1D_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_1D_L002_R1_001.fastq.gz","310c06d74f52b966d5185547c903a775","Human"
"84","SRP108709","SRX2887450","4_5C_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_5C_L002_R1_001.fastq.gz","6ff70cbc0b7d66345e8ae266dae5ebbb","Human"
"85","SRP108709","SRX2887334","2_5E_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM2_5E_L001_R1_001.fastq.gz","a8d3650a6dd093b70fb5b98f38210eeb","Human"
"86","SRP108709","SRX2887446","1_3D_L008","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM1_3D_L008_R1_001.fastq.gz","27c3ed36665a4ea235d0e40501c2068c","Human"
"87","SRP108709","SRX2887470","2_12H_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM2_12H_L001_R1_001.fastq.gz","1b5bcafcc8316389fb0d5616c0afbffa","Human"
"88","SRP108709","SRX2887427","4_10C_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_10C_L001_R1_001.fastq.gz","2563996e65a785f31b85de85c5472c74","Human"
"89","SRP108709","SRX2887311","4_1G_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_1G_L001_R1_001.fastq.gz","b4e1db378a7b6645aaa32aad2797c7ac","Human"
"90","SRP108709","SRX2887264","4_1B_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_1B_L002_R1_001.fastq.gz","77263fc8807793347b0a9e8087afa5a5","Human"
"91","SRP108709","SRX2887424","4_10G_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_10G_L002_R1_001.fastq.gz","e6aefe201aedef17013f538ea4219a37","Human"
"92","SRP108709","SRX2887437","2_2E_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM2_2E_L001_R1_001.fastq.gz","03c9937f94e5870a7911e19b1cd38254","Human"
"93","SRP108709","SRX2887536","4_12C_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_12C_L002_R1_001.fastq.gz","b31d35ed6447b6fb3d0b077378553bf5","Human"
"94","SRP108709","SRX2887549","2_10C_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM2_10C_L002_R1_001.fastq.gz","267741f2cebc3b3afdfa243318867d5e","Human"
"95","SRP108709","SRX2887501","4_9G_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_9G_L001_R1_001.fastq.gz","2194af7bcecca71428baa9b48179ef58","Human"
"96","SRP108709","SRX2887405","4_8F_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_8F_L001_R1_001.fastq.gz","138ec9ed6418f0fe3e46fbbbabfe5dbc","Human"
"97","SRP108709","SRX2887404","2_10C_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM2_10C_L001_R1_001.fastq.gz","acae12079a5da29a65a648ffbc5a67a1","Human"
"98","SRP108709","SRX2887449","4_5C_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_5C_L001_R1_001.fastq.gz","ab8063fe726ffd70332349e4f8313542","Human"
"99","SRP108709","SRX2887342","4_2A_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_2A_L002_R1_001.fastq.gz","509815d513b35ddba58456a8c42469b7","Human"
"100","SRP108709","SRX2887379","4_3C_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_3C_L001_R1_001.fastq.gz","fe7072a7b6ef00ab114f546ee66cf6ea","Human"
"101","SRP108709","SRX2887328","4_7E_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_7E_L002_R1_001.fastq.gz","590161c6751a6d6a4f7e1754a483df4f","Human"
"102","SRP108709","SRX2887387","3_9D_L008","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM3_9D_L008_R1_001.fastq.gz","f5adbc66fa7c5acb08368b8938d86cf8","Human"
"103","SRP108709","SRX2887533","4_8G_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_8G_L002_R1_001.fastq.gz","34d203444087cb1b2ee235bb055fc6c3","Human"
"104","SRP108709","SRX2887430","4_10D_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_10D_L002_R1_001.fastq.gz","2a2107b7ca1327ffb5949dbc3de98898","Human"
"105","SRP108709","SRX2887331","4_7D_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_7D_L001_R1_001.fastq.gz","407c2c6b148a1b91afad6cf322d43136","Human"
"106","SRP108709","SRX2887531","4_6G_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_6G_L002_R1_001.fastq.gz","01fd41d4bdd2fcc4a52594ff2111e400","Human"
"107","SRP108709","SRX2887547","2_3D_L008","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM2_3D_L008_R1_001.fastq.gz","4dd65f13fe6dd7fb54e5d8a4a069567f","Human"
"108","SRP108709","SRX2887355","2_11B_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM2_11B_L002_R1_001.fastq.gz","418f61fe3fd65c7bdade1ed7a716f7aa","Human"
"109","SRP108709","SRX2887326","4_7B_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_7B_L002_R1_001.fastq.gz","0ec33fb0f47bc8721cc7bf686f03633a","Human"
"110","SRP108709","SRX2887245","4_6D_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_6D_L002_R1_001.fastq.gz","3e9462550dfa9485e2d2112cdcef5206","Human"
"111","SRP108709","SRX2887448","4_4C_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_4C_L001_R1_001.fastq.gz","e454e8236f8ed789f62911a913b5854f","Human"
"112","SRP108709","SRX2887418","4_3E_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_3E_L002_R1_001.fastq.gz","dc52364996cb8373dddf0842612ea6d6","Human"
"113","SRP108709","SRX2887356","2_11B_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM2_11B_L001_R1_001.fastq.gz","075fb365655ca76a82872cde3e3188f7","Human"
"114","SRP108709","SRX2887321","2_5H_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM2_5H_L002_R1_001.fastq.gz","031ddbbd33dbef8529d41733a31b1bcd","Human"
"115","SRP108709","SRX2887281","1_7C_L008","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM1_7C_L008_R1_001.fastq.gz","8dc7aca0cdb4a64da42d6d360252c199","Human"
"116","SRP108709","SRX2887272","2_8G_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM2_8G_L001_R1_001.fastq.gz","6614b9abdd4b51ee9dd515c11dac6e89","Human"
"117","SRP108709","SRX2887318","2_5H_L008","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM2_5H_L008_R1_001.fastq.gz","5ecb7baffc180b64f838ad5d4e437412","Human"
