"","study.accession","experiment.accession","isolate","age","biomaterial_provider","sex","tissue","sample_type","filename","md5_checksum","BioSampleModel"
"164","SRP108709","SRX2887439","2_2G_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM2_2G_L001_R1_001.fastq.gz","777c3207ce846a5895196ebaaf7b8e1e","Human"
"165","SRP108709","SRX2887522","4_7A_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_7A_L002_R1_001.fastq.gz","1704df3c546186bb7a07be85ce0ed473","Human"
"166","SRP108709","SRX2887347","2_9G_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM2_9G_L001_R1_001.fastq.gz","3a977c25a5f59586306330a91cecef00","Human"
"167","SRP108709","SRX2887267","4_12H_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_12H_L001_R1_001.fastq.gz","15928fb1da305b5daf5e5cc6079d0f14","Human"
"168","SRP108709","SRX2887483","4_5B_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_5B_L002_R1_001.fastq.gz","539280c99da7fbf0cbe71a97359d1370","Human"
"169","SRP108709","SRX2887521","4_7A_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_7A_L001_R1_001.fastq.gz","cc87757b2107f8dc5d8f9a4629d7a93a","Human"
"170","SRP108709","SRX2887310","4_1G_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_1G_L002_R1_001.fastq.gz","7528b5ba086bfc92dedd6bb71ed3db15","Human"
"171","SRP108709","SRX2887371","4_3A_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_3A_L001_R1_001.fastq.gz","f4db3dc2961bf1e6a6b14ddf908ad120","Human"
"172","SRP108709","SRX2887492","4_4F_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_4F_L001_R1_001.fastq.gz","97f9f0a0f101c70048b555831384508d","Human"
"173","SRP108709","SRX2887291","4_8A_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_8A_L001_R1_001.fastq.gz","b6acd79049f729eb6778499151ba7861","Human"
"174","SRP108709","SRX2887509","4_11G_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_11G_L001_R1_001.fastq.gz","0302d21e42f4166d0fe9299b76b49204","Human"
"175","SRP108709","SRX2887512","2_5A_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM2_5A_L001_R1_001.fastq.gz","3aa7359b3b42fbb37d0a3b92ce0d1c82","Human"
