"","study.accession","experiment.accession","source_name","cell.line","cell.type","drug","concentration"
"188","SRP107198","SRX2831577","NCI-H1944 NSCLC cell line","NCI-H1944","Non-Small Cell Lung Cancer (NSCLC)","untreated","N/A"
"189","SRP107198","SRX2831625","LU-99A NSCLC cell line","LU-99A","Non-Small Cell Lung Cancer (NSCLC)","pimasertib","100 nM"
"190","SRP107198","SRX2831612","NCI-H358 NSCLC cell line","NCI-H358","Non-Small Cell Lung Cancer (NSCLC)","untreated","N/A"
"191","SRP107198","SRX2831592","NCI-H358 NSCLC cell line","NCI-H358","Non-Small Cell Lung Cancer (NSCLC)","pimasertib","100 nM"
"192","SRP107198","SRX2831485","A427 NSCLC cell line","A427","Non-Small Cell Lung Cancer (NSCLC)","pimasertib + SAR405842","100 nM"
"193","SRP107198","SRX2831598","NCI-H358 NSCLC cell line","NCI-H358","Non-Small Cell Lung Cancer (NSCLC)","SAR405838","10 nM"
"194","SRP107198","SRX2831545","DV-90 NSCLC cell line","DV-90","Non-Small Cell Lung Cancer (NSCLC)","untreated","N/A"
"195","SRP107198","SRX2831550","NCI-H1944 NSCLC cell line","NCI-H1944","Non-Small Cell Lung Cancer (NSCLC)","pimasertib + SAR405841","100 nM"
"196","SRP107198","SRX2831622","LU-99A NSCLC cell line","LU-99A","Non-Small Cell Lung Cancer (NSCLC)","pimasertib","10 nM"
"197","SRP107198","SRX2831549","NCI-H1944 NSCLC cell line","NCI-H1944","Non-Small Cell Lung Cancer (NSCLC)","pimasertib + SAR405840","10 nM"
"198","SRP107198","SRX2831605","NCI-H358 NSCLC cell line","NCI-H358","Non-Small Cell Lung Cancer (NSCLC)","SAR405838","1000 nM"
